pop_size,generations,beta,mutation_rate,n,d,mean,std
100,500,3,0.5,50,20,52812.2,1610.85317766704
200,500,3,0.5,50,40,52841.1,2195.2641503928407
100,500,3,0.5,50,40,52969.4,1770.3600311800988
200,500,3,0.5,50,20,53283.3,1964.8107313428436
200,500,3,0.5,30,40,54972.3,1740.7949936738676
50,500,3,0.5,30,20,55189.9,1449.6391585494646
100,500,3,0.5,30,20,55686.2,2022.816936848216
100,500,3,0.5,30,40,56048.0,2303.7089659937515
200,500,3,0.5,30,20,56378.6,1456.090670253745
100,500,2,0.5,50,20,57047.9,2025.2014936790854
200,500,2,0.5,50,20,57595.8,2230.451694164211
100,500,2,0.5,50,40,57763.7,2070.948625630293
200,500,2,0.5,50,40,57990.2,2332.489005333144
50,500,3,0.5,50,20,59165.7,2137.256187264409
100,500,3,0.2,50,20,59830.0,1985.8368009481544
200,500,3,0.2,50,20,59853.1,1940.0479092022447
100,500,3,0.2,50,40,60112.6,2082.8046571870345
200,500,3,0.2,50,40,60113.7,1855.1889957629653
100,300,3,0.5,50,40,60165.4,1182.5454917253714
100,300,3,0.5,50,20,60459.0,1822.0126783313008
200,300,3,0.5,50,40,60954.7,1555.23226882675
200,500,2,0.5,30,20,60982.0,2251.513490965577
200,300,3,0.5,50,20,61048.6,1703.5617511555017
50,500,2,0.5,30,20,61097.4,1860.3110600112013
100,500,2,0.5,30,20,61107.3,1942.0060272820986
200,500,2,0.5,30,40,61293.1,2057.649311714705
100,500,2,0.5,30,40,61370.7,2439.6147667203522
100,300,3,0.5,30,20,63243.1,2298.4796910131704
200,500,3,0.2,30,40,63673.1,2339.45880280034
200,300,3,0.5,30,40,63676.0,1661.7754962689755
200,500,3,0.2,30,20,63878.0,2449.9948163210465
100,500,3,0.2,30,40,63975.6,2797.4402656714583
50,500,3,0.2,30,20,64037.8,2592.730059223289
200,300,3,0.5,30,20,64225.6,1891.324308520355
50,300,3,0.5,30,20,64385.2,2225.042013086494
100,500,3,0.2,30,20,64539.3,1854.3116269926154
100,500,2,0.2,50,40,64642.6,2098.232599117648
100,300,3,0.5,30,40,64833.8,1545.404594272969
200,500,2,0.2,50,20,65031.9,1395.2674618151175
100,500,2,0.2,50,20,65376.3,1933.5233150908732
200,500,2,0.2,50,40,65411.6,2289.760170847593
50,500,2,0.5,50,20,65982.3,2900.634828791794
100,300,2,0.5,50,20,66048.5,2692.318452560915
50,500,3,0.5,50,40,66381.4,3106.1605303010338
100,300,2,0.5,50,40,66415.5,1403.9511565578057
200,300,2,0.5,50,40,66686.4,1479.5564335299955
200,300,2,0.5,50,20,67681.4,1594.3122153455388
50,500,3,0.5,30,40,67965.4,2720.8242207095996
100,500,2,0.2,30,20,68402.5,1795.891491711011
200,300,3,0.2,50,20,68455.9,2357.957567472324
200,500,2,0.2,30,20,68592.7,907.6632690596222
50,500,3,0.2,50,20,68631.7,2042.021696750551
50,300,3,0.5,50,20,68891.0,2612.892190657701
100,500,2,0.2,30,40,69132.5,3149.7742538156604
100,300,2,0.5,30,20,69152.8,2053.41811621501
50,500,2,0.2,30,20,69447.4,3199.305149559823
200,500,2,0.2,30,40,69492.4,2439.0005002049506
50,300,2,0.5,30,20,70049.7,2653.9724207308564
200,300,2,0.5,30,40,70183.0,1850.3371584659917
100,300,3,0.2,50,40,70202.7,1513.2021048095328
100,300,3,0.2,50,20,70306.7,3717.6778518317046
100,300,2,0.5,30,40,70325.3,2579.7142884435866
200,300,3,0.2,50,40,70745.1,1717.9075906462492
200,300,2,0.5,30,20,70858.2,3136.050949841217
100,300,3,0.2,30,40,73203.2,2099.936799048962
200,300,3,0.2,30,40,73282.8,1453.108929158444
50,300,3,0.5,50,40,73590.5,1841.5481666250275
200,300,3,0.2,30,20,73955.0,2326.810735749687
100,300,3,0.2,30,20,74068.0,2268.641267366879
50,500,2,0.2,50,20,74736.4,2796.340079461009
50,500,2,0.5,30,40,74939.4,2553.8155845714464
50,300,3,0.2,30,20,75084.7,1468.1295617213082
50,300,2,0.5,50,20,75772.5,2380.585694739847
200,300,2,0.2,50,40,75949.7,2509.921355341637
100,300,2,0.2,50,20,75994.5,2737.706677129601
100,300,2,0.2,50,40,76290.9,2810.1112949490102
200,300,2,0.2,50,20,76596.6,2460.6485811671687
50,300,3,0.5,30,40,76688.6,2688.898852690447
50,500,3,0.2,50,40,77651.0,3644.8295707755665
50,500,2,0.5,50,40,77853.8,2851.6327884213983
50,300,3,0.2,50,20,78305.1,1190.1680091482883
50,500,3,0.2,30,40,79117.8,3267.9362233678917
200,300,2,0.2,30,20,80147.5,3458.2316940887576
50,300,2,0.2,30,20,80266.0,3183.0775673866324
200,300,2,0.2,30,40,80515.4,3366.375831662294
100,300,2,0.2,30,40,80519.2,2485.308624698349
100,300,2,0.2,30,20,81061.4,2360.0990318204867
50,300,2,0.5,30,40,83654.3,1790.2092643040367
50,300,2,0.5,50,40,85488.2,2777.3628787034654
50,300,2,0.2,50,20,85983.4,2182.5613485077574
50,500,2,0.2,50,40,87373.4,3778.245921059136
50,300,3,0.2,30,40,88522.9,2604.7653809892363
50,300,3,0.2,50,40,89782.2,2945.471602307515
50,500,2,0.2,30,40,90105.0,4156.031255897867
50,300,2,0.2,30,40,98823.9,5311.549424602957
50,300,2,0.2,50,40,99732.0,2175.635217585889
